               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087567,            0.027256,            0.031673,           0.0021993,             0.58182,           0.0063611,           0.0014511,             0.03383,            0.015433,            0.013916,              0.0892,              0.0012,              0.0012
                   1,            0.065366,            0.025035,            0.028939,             0.08741,             0.51212,             0.17275,            0.058658,            0.018512,            0.011369,            0.012332,            0.077418,           0.0024175,           0.0024175
                   2,            0.055573,            0.024517,            0.029488,             0.18079,             0.36737,             0.26536,             0.12509,            0.015939,            0.010551,            0.011224,            0.065549,           0.0035492,           0.0035492
                   3,            0.043336,            0.023253,            0.021319,             0.29785,             0.42588,             0.32088,             0.15749,            0.016944,            0.010107,           0.0096771,            0.053595,           0.0045951,           0.0045951
                   4,            0.047597,            0.019632,             0.01929,             0.42418,             0.46267,              0.4803,             0.26177,            0.015903,           0.0071728,           0.0076721,            0.041555,           0.0055552,           0.0055552
                   5,            0.036182,             0.01834,            0.012707,             0.44744,             0.59798,             0.59817,             0.32774,            0.018535,           0.0069373,           0.0055435,            0.029429,           0.0064295,           0.0064295
                   6,            0.035513,            0.017522,             0.01099,             0.46063,             0.77647,              0.6057,             0.22383,            0.015437,           0.0076113,           0.0040375,            0.017218,            0.007218,            0.007218
                   7,             0.04098,            0.017871,            0.012672,             0.42231,             0.77311,             0.63199,             0.31414,            0.016301,           0.0058985,           0.0064636,             0.00769,             0.00769,             0.00769
                   8,            0.038467,            0.016782,            0.011694,              0.6926,             0.57265,             0.69269,             0.26716,            0.014888,           0.0084519,           0.0066742,             0.00769,             0.00769,             0.00769
                   9,            0.047207,            0.016111,           0.0092862,             0.51813,             0.60663,             0.53038,             0.21952,             0.01794,            0.006559,           0.0040123,             0.00736,             0.00736,             0.00736
                  10,            0.041685,              0.0166,            0.010128,             0.51554,             0.66347,             0.61305,             0.25463,            0.021211,           0.0060267,           0.0048798,             0.00703,             0.00703,             0.00703
                  11,            0.039931,            0.016275,            0.012504,              0.5972,             0.61997,             0.65593,             0.34689,            0.011653,           0.0064468,           0.0060013,              0.0067,              0.0067,              0.0067
                  12,            0.035071,            0.016421,           0.0075505,             0.71506,             0.70492,               0.719,             0.32908,            0.014974,           0.0077627,           0.0045158,             0.00637,             0.00637,             0.00637
                  13,             0.02765,            0.015345,           0.0082442,             0.69397,             0.74045,             0.73762,             0.32002,            0.017443,           0.0055414,           0.0041199,             0.00604,             0.00604,             0.00604
                  14,            0.041129,            0.014725,           0.0097978,             0.85817,             0.64949,             0.75059,             0.38299,            0.010643,           0.0062844,           0.0083725,             0.00571,             0.00571,             0.00571
                  15,            0.035475,            0.014879,           0.0067852,             0.90679,             0.76447,              0.8542,             0.42504,           0.0098819,           0.0055082,           0.0055069,             0.00538,             0.00538,             0.00538
                  16,            0.033919,            0.015732,           0.0081192,             0.89602,             0.75128,                0.86,             0.43841,            0.012746,           0.0056325,           0.0040878,             0.00505,             0.00505,             0.00505
                  17,            0.026334,            0.014641,           0.0048153,             0.94591,              0.8313,             0.90283,             0.47683,            0.012573,           0.0050689,           0.0014454,             0.00472,             0.00472,             0.00472
                  18,            0.037376,            0.014526,           0.0058941,             0.79306,             0.75289,             0.80426,             0.39048,            0.014163,           0.0047879,           0.0044174,             0.00439,             0.00439,             0.00439
                  19,            0.024948,            0.014511,           0.0043505,             0.91315,             0.91717,             0.91908,             0.51133,            0.011483,           0.0038323,           0.0021584,             0.00406,             0.00406,             0.00406
                  20,            0.033105,            0.013656,           0.0050058,             0.93882,              0.8265,             0.92252,             0.54023,            0.011264,           0.0040061,           0.0033577,             0.00373,             0.00373,             0.00373
                  21,            0.035556,            0.014232,           0.0081708,             0.99058,             0.79305,             0.92986,             0.56617,           0.0092601,           0.0039047,           0.0044884,              0.0034,              0.0034,              0.0034
                  22,            0.030262,            0.013637,           0.0069965,             0.87758,             0.78465,              0.8969,             0.59168,           0.0084242,           0.0037542,           0.0058502,             0.00307,             0.00307,             0.00307
                  23,            0.032793,            0.014847,           0.0098052,             0.83125,             0.88384,             0.90659,             0.51673,            0.010304,           0.0038865,           0.0042549,             0.00274,             0.00274,             0.00274
                  24,            0.027633,            0.013683,           0.0069425,             0.89332,             0.81394,             0.89565,             0.47036,             0.01245,           0.0037736,           0.0029846,             0.00241,             0.00241,             0.00241
                  25,            0.030527,            0.014487,           0.0064437,             0.87906,             0.82273,             0.93146,               0.589,           0.0099918,            0.003455,            0.001894,             0.00208,             0.00208,             0.00208
                  26,            0.021759,            0.014343,           0.0044987,             0.85074,             0.89797,             0.94267,             0.61547,            0.010101,           0.0033637,           0.0012829,             0.00175,             0.00175,             0.00175
                  27,            0.023928,            0.013303,           0.0058062,             0.95923,             0.85113,             0.94784,             0.65376,           0.0087872,           0.0034531,           0.0013653,             0.00142,             0.00142,             0.00142
                  28,            0.024629,            0.013098,           0.0033982,             0.90816,             0.90262,              0.9506,             0.62156,           0.0098318,           0.0035601,           0.0013515,             0.00109,             0.00109,             0.00109
                  29,             0.01707,            0.012365,           0.0027823,             0.92227,             0.92581,             0.95482,             0.62903,           0.0091005,           0.0034378,           0.0013561,             0.00076,             0.00076,             0.00076
